ticker,shares_bought,avg_price_per_share,date_of_transaction,order_amount,total_amount_bought
PYPL,0.056171000000000006,178.0278,2020-07-10,9.9999995538,6842.100371195105
NFLX,0.17511400000000002,571.0566,2020-07-13,100.0000054524,6942.100376647505
XBI,0.8562489999999999,116.7885,2020-07-13,100.0000363365,7042.100412984005
WORK,0.295371,35.6501,2020-07-13,10.530005687100001,7052.630418671105
TSLA,0.032655,1531.1591,2020-07-13,50.000000410500014,7102.630419081605
TSM,0.7650520000000001,65.355,2020-07-15,49.99997346,7152.630392541605
USO,2.0,29.19,2020-07-15,58.38,7211.010392541605
CPRX,5.0,5.048,2020-07-15,25.24,7236.250392541605
CRBP,4.0,7.06,2020-07-15,28.24,7264.490392541605
SRNE,4.0,6.435,2020-07-15,25.74,7290.2303925416045
VKTX,5.0,6.9879999999999995,2020-07-15,34.940000000000005,7325.170392541604
BIOC,10.0,0.7240000000000001,2020-07-15,7.24,7332.410392541604
RIGL,10.0,3.158,2020-07-15,31.58,7363.990392541604
OGEN,10.0,0.897,2020-07-15,8.97,7372.960392541604
XBI,0.40755399999999997,115.6902,2020-07-15,47.15000377080001,7420.110396312404
JETS,3.0,16.7667,2020-07-15,50.3001,7470.410496312405
ALK,0.258814,37.4787,2020-07-15,9.7000122618,7480.110508574205
VBIV,5.0,4.8180000000000005,2020-07-15,24.09,7504.200508574205
AMRN,4.0,6.8975,2020-07-15,27.59,7531.790508574205
MTNB,20.0,0.799,2020-07-15,15.98,7547.7705085742045
IBIO,10.0,3.21,2020-07-15,32.1,7579.870508574205
IBB,0.351012,142.4453,2020-07-15,50.000009643599995,7629.870518217805
CUK,0.5858,14.015,2020-07-15,8.209987,7638.080505217805
XBI,1.294548,115.8706,2020-07-16,150.00005348879998,7788.080558706605
TSM,1.0,66.25,2020-07-16,66.25,7854.330558706605
BABA,0.40955,244.1704,2020-07-16,99.99998732,7954.330546026606
LULU,0.159306,313.8614,2020-07-16,50.0000041884,8004.330550215005
JETS,2.0,16.695,2020-07-16,33.39,8037.7205502150055
FSLY,0.12764,78.3453,2020-07-16,9.999994092,8047.720544307005
NFLX,0.061197,490.2201,2020-07-17,29.999999459699996,8077.720543766705
OKTA,0.12079300000000001,206.9656,2020-07-17,24.999995720799998,8102.720539487505
BHVN,0.135694,73.6952,2020-07-20,9.9999964688,8112.720535956306
LVGO,0.08814,113.4559,2020-07-20,10.000003026,8122.720538982306
PTON,0.15698499999999999,63.7004,2020-07-20,10.000007294,8132.720546276306
SRNE,2.714655,8.4504,2020-07-20,22.939920611999998,8155.660466888306
VTI,1.212349,164.96900000000002,2020-07-22,200.00000218099999,8355.660469069306
VTI,2.455418,162.9051,2020-07-24,400.0001148318,8755.660583901106
LVGO,0.355164,140.78,2020-08-04,49.99998792,8805.660571821107
OKTA,0.11479400000000001,217.7814,2020-08-04,24.999998031599997,8830.660569852707
TGT,0.385594,129.6701,2020-08-04,50.0000125394,8880.660582392107
HD,0.187796,266.2464,2020-08-04,50.00000893439999,8930.660591326507
VTI,1.293142,167.035,2020-08-04,215.99997397,9146.660565296506
DIS,0.46863999999999995,128.03,2020-08-05,59.9999792,9206.660544496506
NTDOY,1.023406,58.745,2020-08-05,60.11998547,9266.780529966507
BABA,0.084504,264.9579,2020-08-05,22.3900023816,9289.170532348107
SHOP,0.018239,1096.5513,2020-08-05,19.9999991607,9309.170531508807
AMZN,0.031132,3212.1290000000004,2020-08-06,100.00000002799999,9409.170531536807
FSLY,0.276962,90.2651,2020-08-06,25.0000026262,9434.170534163008
SPOT,0.09833099999999999,254.2433,2020-08-06,24.9999979323,9459.170532095308
Z,0.606612,82.425,2020-08-07,49.9999941,9509.170526195308
FSLY,0.622161,80.3651,2020-08-07,50.0000309811,9559.170557176409
TTD,0.099887,500.5656,2020-08-07,49.9999960872,9609.170553263608
CVNA,0.25661999999999996,194.8406,2020-08-07,49.999994772,9659.170548035609
DDOG,0.656771,76.13,2020-08-07,49.99997623,9709.170524265608
DIS,0.38255500000000003,130.7002,2020-08-07,50.000015011,9759.170539276609
FB,0.184023,271.7052,2020-08-07,50.0000060196,9809.170545296209
PTON,0.73046,68.45,2020-08-07,49.999987,9859.170532296208
